[2024-05-20 21:24:58,571::train::INFO] [Validation] Iter 31200 | reward 0.596755
[2024-05-20 21:45:05,969::train::INFO] [Validation] Iter 31400 | reward 0.685905
[2024-05-20 22:05:16,669::train::INFO] [Validation] Iter 31600 | reward 0.636915
[2024-05-20 22:25:35,738::train::INFO] [Validation] Iter 31800 | reward 0.624017
[2024-05-20 22:45:51,361::train::INFO] [Validation] Iter 32000 | reward 0.691313
[2024-05-20 23:05:59,192::train::INFO] [Validation] Iter 32200 | reward 0.620150
[2024-05-20 23:26:08,757::train::INFO] [Validation] Iter 32400 | reward 0.701707
[2024-05-20 23:46:16,933::train::INFO] [Validation] Iter 32600 | reward 0.666244
[2024-05-21 00:06:26,511::train::INFO] [Validation] Iter 32800 | reward 0.679836
[2024-05-21 00:26:38,369::train::INFO] [Validation] Iter 33000 | reward 0.614130
[2024-05-21 00:46:54,892::train::INFO] [Validation] Iter 33200 | reward 0.677549
[2024-05-21 01:07:10,768::train::INFO] [Validation] Iter 33400 | reward 0.670247
[2024-05-21 01:27:22,892::train::INFO] [Validation] Iter 33600 | reward 0.618201
[2024-05-21 01:47:33,588::train::INFO] [Validation] Iter 33800 | reward 0.643719
[2024-05-21 02:07:45,466::train::INFO] [Validation] Iter 34000 | reward 0.649507
[2024-05-21 02:27:57,890::train::INFO] [Validation] Iter 34200 | reward 0.628963
[2024-05-21 02:48:10,576::train::INFO] [Validation] Iter 34400 | reward 0.630252
[2024-05-21 03:08:20,444::train::INFO] [Validation] Iter 34600 | reward 0.707711
[2024-05-21 03:28:29,413::train::INFO] [Validation] Iter 34800 | reward 0.694477
[2024-05-21 03:48:27,396::train::INFO] [Validation] Iter 35000 | reward 0.683542
[2024-05-21 04:08:33,611::train::INFO] [Validation] Iter 35200 | reward 0.633859
[2024-05-21 04:28:33,001::train::INFO] [Validation] Iter 35400 | reward 0.694241
[2024-05-21 04:48:34,668::train::INFO] [Validation] Iter 35600 | reward 0.634546
[2024-05-21 05:08:35,043::train::INFO] [Validation] Iter 35800 | reward 0.643017
[2024-05-21 05:28:33,304::train::INFO] [Validation] Iter 36000 | reward 0.682509
[2024-05-21 05:48:39,002::train::INFO] [Validation] Iter 36200 | reward 0.634366
[2024-05-21 06:08:40,200::train::INFO] [Validation] Iter 36400 | reward 0.676860
[2024-05-21 06:28:41,585::train::INFO] [Validation] Iter 36600 | reward 0.675556
